Title,Origin,Page,Link,Open Link,Composers,Tags,AI_Guessed_Key,Reference,Key,Genre,Key_Match,Predicted Key
50 Ways to Leave Your Lover,Ukejams 2026 Songbook,46,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
500 Miles - C,Sun City Uke Book 4,,https://scukes.org/songs4/500%20Miles%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Folk / Singer-Songwriter,,
59th Street Bridge Song,Ukejams 2026 Songbook,47,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Folk / Singer-Songwriter,,
59th Street Bridge Song (Feelin' Groovy)-G,Dr. Uke 3900,,https://doctoruke.com/59thstreetbridgesong.pdf,Open Song,,Ukulele,A,Dr. Uke,G,Folk / Singer-Songwriter,Mismatch,
9 to 5,Ukejams 2026 Songbook,45,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,"Country, Pop/Rock",,
98.6,Dr. Uke 3900,,https://doctoruke.com/98.6.pdf,Open Song,,Ukulele,D,Dr. Uke,,Pop/Rock,,
9 To 5,Dr. Uke 3900,,https://doctoruke.com/9to5.pdf,Open Song,,Ukulele,D,Dr. Uke,,"Country, Pop/Rock",,
A Fool Such as I,Sun City Uke Book 3,,https://scukes.org/songs3/A%20Fool%20Such%20as%20I.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Country,,
A Hard Day's Night - C,Sun City Uke,,https://scukes.org/songs/A%20Hard%20Day's%20Night%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Classic Rock,Match,
A Hard Day's Night - D,Sun City Uke,,https://scukes.org/songs/A%20Hard%20Day's%20Night%20-%20D.pdf,Open Song,,Ukulele,D,Sun City Uke Club,D,Classic Rock,Match,
A Hard Day's Night - G,Sun City Uke,,https://scukes.org/songs/A%20Hard%20Day's%20Night%20-%20G.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Classic Rock,,
A Hard Day's Night - G 2,Sun City Uke,,https://scukes.org/songs/A%20Hard%20Day's%20Night%20-%20G%202.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Classic Rock,Match,
A Heart That Never Closes-F,Doctor Uke,,https://doctoruke.com/heartthatneverclosesf.pdf,Open Song,,Ukulele,F,Dr. Uke,F,Pop/Rock,Match,
A Heart That Never Closes-G,Doctor Uke,,https://doctoruke.com/heartthatneverclosesg.pdf,Open Song,,Ukulele,G,Dr. Uke,G,Pop/Rock,Match,
A Pirate Looks At 40 - G,Sun City Uke,,https://scukes.org/songs/A%20Pirate%20Looks%20At%2040%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
A Pirate Looks At 40 - G 2,Sun City Uke,,https://scukes.org/songs/A%20Pirate%20Looks%20At%2040%20-%20G%202.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Pop/Rock,,
A Sunday Kind Of Love - G,Sun City Uke,,https://scukes.org/songs/A%20Sunday%20Kind%20Of%20Love%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Jazz / Pop Standard,Match,
A Well Respected Man,Sun City Uke,,https://scukes.org/songs/A%20Well%20Respected%20Man.pdf,Open Song,,Ukulele,F,Sun City Uke Club,,"Jazz / Pop Standard, Pop/Rock",,
A White Sports Coat - C,Sun City Uke,,https://scukes.org/songs/A%20White%20Sports%20Coat%20-%20C.pdf,Open Song,,Ukulele,F,Sun City Uke Club,C,Classic Rock,Mismatch,
A Whiter Shade Of Pale,Sun City Uke,,https://scukes.org/songs/A%20Whiter%20Shade%20Of%20Pale.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Classic Rock,,
A World Of Our Own - C,Sun City Uke,,https://scukes.org/songs/A%20World%20Of%20Our%20Own%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
Aba Daba Honeymoon,Dr. Uke 3900,,https://doctoruke.com/abadabahoneymoon.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
"Abi Gezunt (Yiddish for ""So Long as You're Healthy"")",Dr. Uke 3900,,https://doctoruke.com/abigezunt.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Abilene,Dr. Uke 3900,,https://doctoruke.com/abilene.pdf,Open Song,,Ukulele,D,Dr. Uke,,Classic Rock,,
Abilene - C,Sun City Uke,,https://scukes.org/songs/Abilene%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
About a Quarter To Nine,Dr. Uke 3900,,https://doctoruke.com/aboutaquartertonine.pdf,Open Song,,Ukulele,Bb,Dr. Uke,,Pop/Rock,,
Abracadabra,Ukejams 2026 Songbook,49,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Abraham Martin and John,Ukejams 2026 Songbook,50,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
"Abraham, Martin, and John",Dr. Uke 3900,,https://doctoruke.com/abrahammartin.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Absolutely (Story of a Girl),Ukejams 2026 Songbook,51,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Classic Rock,,
Accentuate the Positive,Ukejams 2026 Songbook,52,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Classic Rock,,
Achy Breaky Heart,Dr. Uke 3900,,https://doctoruke.com/achybreakyheart.pdf,Open Song,,Ukulele,F,Dr. Uke,,Pop/Rock,,
Across the Alley from the Alamo,Ukejams 2026 Songbook,53,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Classic Rock,,
Across The Great Divide - C,Sun City Uke,,https://scukes.org/songs/Across%20The%20Great%20Divide%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Across the Great Divide - C,Sun City Uke Book 4,,https://scukes.org/songs4/Across%20the%20Great%20Divide%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Across the Universe,Ukejams 2026 Songbook,54,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,G,Ukejams 2026 Songbook,,"Classic Rock, Pop/Rock",,
Across the Universe,Dr. Uke 3900,,https://doctoruke.com/acrosstheuniverse.pdf,Open Song,,Ukulele,G,Dr. Uke,,"Classic Rock, Pop/Rock",,
Act Naturally - G,Sun City Uke,,https://scukes.org/songs/Act%20Naturally%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,"Classic Rock, Pop/Rock",Match,
Act Naturally - G,Sun City Uke Book 1,,https://scukes.org/songs1/Act%20Naturally%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,"Classic Rock, Pop/Rock",Match,
Act Naturally,Dr. Uke 3900,,https://doctoruke.com/actnaturally.pdf,Open Song,,Ukulele,G,Dr. Uke,,Classic Rock,,
Addams Family Theme - C,Sun City Uke,,https://scukes.org/songs/Addams%20Family%20Theme%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Soundtrack / Theme,Match,
Addams Family Theme,Dr. Uke 3900,,https://doctoruke.com/addamsfamily.pdf,Open Song,,Ukulele,G,Dr. Uke,,"Jazz / Pop Standard, Pop/Rock",,
Africa,Ukejams 2026 Songbook,55,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
After the Goldrush - C,Sun City Uke Book 4,,https://scukes.org/songs4/After%20the%20Goldrush%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
After The Lovin' - C,Sun City Uke,,https://scukes.org/songs/After%20The%20Lovin'%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
After You Get What You Want You Don't Want It,Ukejams 2026 Songbook,57,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
After You've Gone,Sun City Uke Book 2,,https://scukes.org/songs2/After%20You've%20Gone.pdf,Open Song,,Ukulele,E,Sun City Uke Club,,"Folk / Singer-Songwriter, Pop/Rock",,
Afternoon Delight,Ukejams 2026 Songbook,56,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,A,Ukejams 2026 Songbook,,"Classic Rock, Folk / Singer-Songwriter, Pop/Rock",,
Afternoon Delight,Dr. Uke 3900,,https://doctoruke.com/afternoondelight.pdf,Open Song,,Ukulele,A,Dr. Uke,,"Classic Rock, Folk / Singer-Songwriter, Pop/Rock",,
After the Ball,Dr. Uke 3900,,https://doctoruke.com/aftertheball.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
After the Gold Rush,Dr. Uke 3900,,https://doctoruke.com/afterthegoldrush.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
After the Lovin',Dr. Uke 3900,,https://doctoruke.com/afterthelovin.pdf,Open Song,,Ukulele,F,Dr. Uke,,Pop/Rock,,
After You Get What You Want (You Don't Want It),Dr. Uke 3900,,https://doctoruke.com/afteryougetwhatyouwant.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
After You've Gone,Dr. Uke 3900,,https://doctoruke.com/afteryouvegone.pdf,Open Song,,Ukulele,E,Dr. Uke,,"Folk / Singer-Songwriter, Pop/Rock",,
Again,Dr. Uke 3900,,https://doctoruke.com/again.pdf,Open Song,,Ukulele,Dm,Dr. Uke,,Pop/Rock,,
Against All Odds (Take a Look At Me Now),Dr. Uke 3900,,https://doctoruke.com/againstallodds.pdf,Open Song,,Ukulele,C,Dr. Uke,,Classic Rock,,
Agricultural Irish Girl,Dr. Uke 3900,,https://doctoruke.com/agriculturalirishgirl.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Agua De Beber,Dr. Uke 3900,,https://doctoruke.com/aguadebeber.pdf,Open Song,,Ukulele,E,Dr. Uke,,Classic Rock,,
"Ah, the Moon Is Here",Dr. Uke 3900,,https://doctoruke.com/ahthemoonishere.pdf,Open Song,,Ukulele,F,Dr. Uke,,Classic Rock,,
Ain't Misbehavin (with verses),Ukejams 2026 Songbook,58,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Ain't Misbehavin' - C,Sun City Uke,,https://scukes.org/songs/Ain't%20Misbehavin'%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Ain't Misbehavin' - C,Sun City Uke Book 1,,https://scukes.org/songs1/Ain't%20Misbehavin'%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Ain't Misbehaving,Ukejams 2026 Songbook,59,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Ain't Misbehaving - C,Sun City Uke,,https://scukes.org/songs/Ain't%20Misbehaving%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
Ain't No Ash Will Burn,Ukejams 2026 Songbook,60,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Ain't No Man,Ukejams 2026 Songbook,61,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Ain't No Rest for the Wicked,Ukejams 2026 Songbook,62,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Blues / Soul,,
Ain't No Sunshine,Sun City Uke,,https://scukes.org/songs/Ain't%20No%20Sunshine.pdf,Open Song,,Ukulele,Am,Sun City Uke Club,,"Blues / Soul, Pop/Rock",,
Ain't No Sunshine,Ukejams 2026 Songbook,63,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,Am,Ukejams 2026 Songbook,,"Blues / Soul, Pop/Rock",,
Ain't No Trouble to Me,Ukejams 2026 Songbook,64,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Classic Rock,,
Ain't Nobody Here but Us Chickens,Sun City Uke Book 3,,https://scukes.org/songs3/Ain't%20Nobody%20Here%20but%20Us%20Chickens.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Classic Rock,,
Ain't Nobody Here But Us Chickens-A,Doctor Uke,,https://www.doctoruke.com/aintnobodyherea.pdf,Open Song,,Ukulele,E,Dr. Uke,A,Pop/Rock,Mismatch,
Ain't She Sweet,Sun City Uke,,https://scukes.org/songs/Ain't%20She%20Sweet.pdf,Open Song,,Ukulele,,Sun City Uke Club,,"Classic Rock, Pop/Rock",,
Ain't She Sweet,Sun City Uke Book 3,,https://scukes.org/songs3/Ain't%20She%20Sweet.pdf,Open Song,,Ukulele,,Sun City Uke Club,,"Classic Rock, Pop/Rock",,
Ain't She Sweet,Ukejams 2026 Songbook,65,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,"Classic Rock, Pop/Rock",,
Ain't She Sweet - C,Sun City Uke,,https://scukes.org/songs/Ain't%20She%20Sweet%20-%20C.pdf,Open Song,,Ukulele,G,Sun City Uke Club,C,Pop/Rock,Mismatch,
Ain't That A Shame - G,Sun City Uke,,https://scukes.org/songs/Ain't%20That%20A%20Shame%20-%20G.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Pop/Rock,,
Ain't That a Shame - G,Sun City Uke Book 4,,https://scukes.org/songs4/Ain't%20That%20a%20Shame%20-%20G.pdf,Open Song,,Ukulele,,Sun City Uke Club,G,Pop/Rock,,
Ain't We Got Fun,Sun City Uke Book 2,,https://scukes.org/songs2/Ain't%20We%20Got%20Fun.pdf,Open Song,,Ukulele,C,Sun City Uke Club,,Pop/Rock,,
Ain't We Got Fun,Ukejams 2026 Songbook,66,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,C,Ukejams 2026 Songbook,,Pop/Rock,,
Ain't Misbehavin',Dr. Uke 3900,,https://doctoruke.com/aintmisbehavin.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Ain't Nobody Here But Us Chickens,Dr. Uke 3900,,https://doctoruke.com/aintnobodyhere.pdf,Open Song,,Ukulele,C,Dr. Uke,,Pop/Rock,,
Ain't Nobody Here But Us Chickens-A,Dr. Uke 3900,,https://doctoruke.com/aintnobodyherea.pdf,Open Song,,Ukulele,E,Dr. Uke,A,Pop/Rock,Mismatch,
Ain't Nobody Here But Us Chickens-A Bar,Dr. Uke 3900,,https://doctoruke.com/aintnobodyhereabar.pdf,Open Song,,Ukulele,E,Dr. Uke,A,Blues / Soul,Mismatch,
Ain't No Sunshine,Dr. Uke 3900,,https://doctoruke.com/aintnosunshine.pdf,Open Song,,Ukulele,Am,Dr. Uke,,"Blues / Soul, Pop/Rock",,
Ain't No Way,Dr. Uke 3900,,https://doctoruke.com/aintnoway.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Ain't No Woman (Like the One I've Got),Dr. Uke 3900,,https://doctoruke.com/aintnowoman.pdf,Open Song,,Ukulele,F#m,Dr. Uke,,Pop/Rock,,
Ain't That a Kick In the Head-D,Dr. Uke 3900,,https://doctoruke.com/aintthatakickinthehead.pdf,Open Song,,Ukulele,C#,Dr. Uke,D,Pop/Rock,Mismatch,
Ain't That a Shame,Dr. Uke 3900,,https://doctoruke.com/aintthatashame.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Ain't Too Proud To Beg-G,Dr. Uke 3900,,https://doctoruke.com/ainttooproudtobeg.pdf,Open Song,,Ukulele,F,Dr. Uke,G,Pop/Rock,Mismatch,
Ain't We Got Fun?,Dr. Uke 3900,,https://doctoruke.com/aintwegotfun.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
The Air That I Breathe,Dr. Uke 3900,,https://doctoruke.com/airthatibreathe.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Alabama Song,Sun City Uke Book 3,,https://scukes.org/songs3/Alabama%20Song.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Alabama Rain,Dr. Uke 3900,,https://doctoruke.com/alabamarain.pdf,Open Song,,Ukulele,A,Dr. Uke,,Pop/Rock,,
Alabamy Bound,Sun City Uke Book 3,,https://scukes.org/songs3/Alabamy%20Bound.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
Alberta-A,Dr. Uke 3900,,https://doctoruke.com/alberta.pdf,Open Song,,Ukulele,F,Dr. Uke,A,Pop/Rock,Mismatch,
Alberta - C,Sun City Uke,,https://scukes.org/songs/Alberta%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
Alberta Bound,Ukejams 2026 Songbook,68,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Alberta Bound-D,Dr. Uke 3900,,https://doctoruke.com/albertabound.pdf,Open Song,,Ukulele,A,Dr. Uke,D,Pop/Rock,Mismatch,
Albuquerque Is a Turkey,Dr. Uke 3900,,https://doctoruke.com/albuquerque.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
Al Di La-A,Dr. Uke 3900,,https://doctoruke.com/aldila.pdf,Open Song,,Ukulele,G,Dr. Uke,A,Pop/Rock,Mismatch,
Alexander_s Ragtime Band,Ukejams 2026 Songbook,69,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
Alexander's Ragtime Band,Dr. Uke 3900,,https://doctoruke.com/alexanders.pdf,Open Song,,Ukulele,,Dr. Uke,,Pop/Rock,,
"What's It All About, Alfie?",Dr. Uke 3900,,https://doctoruke.com/alfie.pdf,Open Song,,Ukulele,Bb,Dr. Uke,,Pop/Rock,,
Alice Blue Gown,Dr. Uke 3900,,https://doctoruke.com/alicebluegown.pdf,Open Song,,Ukulele,G,Dr. Uke,,Pop/Rock,,
Alison,Ukejams 2026 Songbook,70,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
All By Myself,Sun City Uke,,https://scukes.org/songs/All%20By%20Myself.pdf,Open Song,,Ukulele,G,Sun City Uke Club,,Pop/Rock,,
All By Myself,Ukejams 2026 Songbook,71,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,G,Ukejams 2026 Songbook,,Pop/Rock,,
All I Do Is Dream of You,Ukejams 2026 Songbook,72,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,C,Ukejams 2026 Songbook,,Pop/Rock,,
All I Have to Do Is Dream,Sun City Uke Book 2,,https://scukes.org/songs2/All%20I%20Have%20to%20Do%20Is%20Dream.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
All I Have to Do Is Dream,Ukejams 2026 Songbook,73,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
All I Have To Do Is Dream - C,Sun City Uke,,https://scukes.org/songs/All%20I%20Have%20To%20Do%20Is%20Dream%20-%20C.pdf,Open Song,,Ukulele,,Sun City Uke Club,C,Pop/Rock,,
All I Have To Do Is Dream - G,Sun City Uke,,https://scukes.org/songs/All%20I%20Have%20To%20Do%20Is%20Dream%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
All I Have to Do Is Dream 343,Sun City Uke Book 2,,https://scukes.org/songs2/All%20I%20Have%20to%20Do%20Is%20Dream%20343.pdf,Open Song,,Ukulele,,Sun City Uke Club,,Pop/Rock,,
All I Have To Do Is Strum,Sun City Uke,,https://scukes.org/songs/All%20I%20Have%20To%20Do%20Is%20Strum.pdf,Open Song,,Ukulele,C,Sun City Uke Club,,Pop/Rock,,
All I Want For Christmas Is My Two Front Teeth - C,Sun City Uke,,https://scukes.org/songs/All%20I%20Want%20For%20Christmas%20Is%20My%20Two%20Front%20Teeth%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
All I Want For Christmas Is You,Sun City Uke,,https://scukes.org/songs/All%20I%20Want%20For%20Christmas%20Is%20You.pdf,Open Song,,Ukulele,G,Sun City Uke Club,,Pop/Rock,,
All I Want is You 74 All My Favorite Songs,Ukejams 2026 Songbook,75,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
All My Ex's Live In Texas - G,Sun City Uke,,https://scukes.org/songs/All%20My%20Ex's%20Live%20In%20Texas%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
All My Life's A Circle - C,Sun City Uke,,https://scukes.org/songs/All%20My%20Life's%20A%20Circle%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
All My Life's A Circle - C1,Sun City Uke,,https://scukes.org/songs/All%20My%20Life's%20A%20Circle%20-%20C1.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
All My Loving,Ukejams 2026 Songbook,76,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
All My Loving - C,Sun City Uke,,https://scukes.org/songs/All%20My%20Loving%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
All My Loving - D,Sun City Uke Book 1,,https://scukes.org/songs1/All%20My%20Loving%20-%20D.pdf,Open Song,,Ukulele,C,Sun City Uke Club,D,Pop/Rock,Mismatch,
All My Loving - G,Sun City Uke,,https://scukes.org/songs/All%20My%20Loving%20-%20G.pdf,Open Song,,Ukulele,G,Sun City Uke Club,G,Pop/Rock,Match,
All of Me,Ukejams 2026 Songbook,77,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
All Of Me - C,Sun City Uke,,https://scukes.org/songs/All%20Of%20Me%20-%20C.pdf,Open Song,,Ukulele,Dm,Sun City Uke Club,C,Pop/Rock,Mismatch,
All of Me - C,Sun City Uke Book 1,,https://scukes.org/songs1/All%20of%20Me%20-%20C.pdf,Open Song,,Ukulele,Dm,Sun City Uke Club,C,Pop/Rock,Mismatch,
All of Me - Parody,Ukejams 2026 Songbook,78,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
All of Me - Parody,Ukejams 2026 Songbook,1314,https://drive.google.com/file/d/1-U3qbDu_l_bvY6Z1nJ-3G7WeOiNyAxke/view?usp=sharing,Open Song,,Ukulele,,Ukejams 2026 Songbook,,Pop/Rock,,
All Of Me - Therapy - C,Sun City Uke,,https://scukes.org/songs/All%20Of%20Me%20-%20Therapy%20-%20C.pdf,Open Song,,Ukulele,C,Sun City Uke Club,C,Pop/Rock,Match,
